S#,SNAME,SEX,BDATE,HEIGHT,DORM
48290710,赵小红,女,2002-10-31,169.7,西3舍302
57000165,申娟,男,2004-11-07,160.2,西16舍213
41050958,林杰,男,2001-09-04,185.6,西2舍206
16546836,鲁桂花,女,2001-09-02,156.2,西13舍603
80234888,王飞,女,2003-12-14,164.3,西7舍216
36689097,孙秀英,女,2004-03-26,189.2,西16舍119
93576249,伍红梅,女,2002-01-18,165.2,东13舍106
10204128,张淑英,男,2005-04-02,179.6,东19舍420
75517851,罗红梅,女,2005-02-23,180.4,西11舍410
75085311,周俊,男,2001-12-04,155.9,东9舍712
38725366,李浩,男,2006-10-20,163.1,东18舍711
52702252,孟瑞,男,2003-05-11,169.0,东7舍209
57762640,赖婷婷,女,2000-12-05,172.4,东11舍718
20692422,张红霞,男,2005-11-14,163.2,西17舍417
47908588,吕建国,女,2003-12-28,156.7,西4舍807
36126152,仲芳,男,2001-07-14,150.0,西8舍409
89061445,桑红梅,女,2001-03-10,163.1,东11舍202
64252382,陈飞,女,2006-02-14,162.1,西14舍118
73660296,黄婷,男,2002-01-11,150.6,东18舍215
45699932,刘英,女,2006-07-04,152.2,东4舍817
85575112,吴芳,女,2005-06-29,186.6,西1舍305
42637261,张晶,女,2004-10-07,162.4,西7舍313
54514615,左秀荣,女,2003-03-16,160.1,东2舍704
77417077,陈帆,女,2004-09-18,162.6,西6舍514
58567733,杭健,女,2003-11-25,154.2,东9舍112
82546415,李倩,女,2004-11-02,151.5,西19舍404
83160161,卢欢,男,2005-03-07,158.1,东14舍312
64900341,骆桂兰,男,2002-04-11,151.9,东15舍502
21055450,韦明,女,2000-05-23,150.7,东10舍219
86650640,陈辉,男,2003-08-22,175.5,西12舍616
98832031,陈杰,女,2004-07-15,180.4,东6舍307
66431887,王淑兰,男,2004-02-02,177.9,西19舍212
37928718,彭秀梅,女,2006-12-27,176.4,东1舍814
56242223,张玉英,男,2006-12-05,172.6,西1舍802
